Case,Date,County,Company,Occupation,Agency,Violation,Trade,Outcome,Outcometype,Quantity
554SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Mountain View-Los Altos High School District ," IWC 16, Misclassification, Overtime ", Laborers,Lawsuit,Superior Court,
557SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Assessment,Stop Notice ,910.32
557SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Assessment,Stop Notice ,"5,828.80"
557SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Complaint,Awarding Agency,
557SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Lawsuit,Superior Court,
558SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Assessment,Stop Notice ,379.3
558SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Assessment,Stop Notice ,"5,828.80"
558SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Complaint,Awarding Agency,
558SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District ," IWC 16, Misclassification, Paid Private Rates ", Laborers,Lawsuit,Superior Court,
559SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District , License Issues , Laborers,Complaint,CSLB,
559SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District , License Issues , Laborers,Complaint,EDD,
559SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",JV Orta's Rent-A-Fence,Fencing , Cambrian School District , License Issues , Laborers,Lawsuit,Superior Court,
986RD,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Kernen Construction,Street & Road , California Department of Transportation ," Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Collection,DLSE ,"6,594.84"
465SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Labat's Tree Care,Landscape Construction , City & County of San Francisco ," Failure to Pay Prevailing Wages, Fringe Benefits, Overtime ", Laborers,Assessment,Lawsuit ,"14,879.34"
509SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Labat's Tree Care,Tree Removal , Various Projects ," Failure to Pay Prevailing Wages, Fringe Benefits, Overtime ", Laborers,Assessment,Superior Court ,"14,879.34"
288FR,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Underground , County of Monterey ," IWC 16, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"5,000.00"
289FR,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Underground , Monterey Peninsula Community College District ," IWC 16, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"5,000.00"
290FR,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Street & Road , City of Monterey ," Failure to Pay Prevailing Wages, IWC 16, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"5,000.00"
383SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Underground , County of Santa Cruz ," Failure to Pay Prevailing Wages, IWC 16, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"5,000.00"
385SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Street & Road , County of Santa Cruz ," Failure to Pay Prevailing Wages, IWC 16, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"5,000.00"
386SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Underground , County of Santa Cruz ," Failure to Pay Prevailing Wages, IWC 16, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"5,000.00"
390SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Street & Road , City of Watsonville ," Failure to Pay Prevailing Wages, IWC 16, Misclassification, Overtime "," Laborers, Operators",Collection,Stop Notice ,"5,000.00"
508SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Site Work/Underground , City of Pacific Grove ," Apprenticeship, Failure to Pay Prevailing Wages "," Laborers, Operators",Assessment,DLSE ,"84,171.31"
508SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Site Work/Underground , City of Pacific Grove ," Apprenticeship, Failure to Pay Prevailing Wages "," Laborers, Operators",Assessment,Stop Notice ,510.89
508SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Site Work/Underground , City of Pacific Grove ," Apprenticeship, Failure to Pay Prevailing Wages "," Laborers, Operators",Collection,DLSE ,"84,171.31"
538SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Underground , Soquel Creek Water District ," IWC 16, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Assessment,Stop Notice ,"12,667.80"
538SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Underground , Soquel Creek Water District ," IWC 16, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Lawsuit,Superior Court,
539SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Street & Road , City of Seaside ," IWC 16, Misclassification, Overtime "," Laborers, Operators",Lawsuit,Lawsuit,
543SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Street & Road , County of Monterey ," IWC 16, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Assessment,Stop Notice ,"2,653.60"
543SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Street & Road , County of Monterey ," IWC 16, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Complaint,Awarding Agency,
543SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Street & Road , County of Monterey ," IWC 16, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Lawsuit,Lawsuit,
578SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Monterey Peninsula Engineering,Underground , California American Water Company ," Apprenticeship, Failure to Pay Prevailing Wages "," Laborers, Operators",Complaint,DLSE,
569SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Nissim Painting Company,Building Construction , San Jose Unified School District , License Issues , Laborers,Complaint,CSLB,
533SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Nor-Cal Contractor,Site Work/Concrete Construction , Salinas Union High School District ," Apprenticeship, Misclassification "," Cement Masons, Laborers, Operators",Assessment,DLSE ,"5,623.67"
548SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Nor-Cal Contractor,Site Work , City of Salinas ," Apprenticeship, IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Complaint,Awarding Agency,
374BA,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Odyssey Landscaping Company, Inc.",Site Work , California Department of Transportation ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
561SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Park Engineering, Inc.",Testing & Inspection , City of San Rafael ," Fringe Benefits, Subsistence, Travel Pay ", Operators,Complaint,DLSE,
579SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Peters Excavating, Inc.",Site Work , Windsor Unified School District ," Failure to Pay Prevailing Wages, Overtime, Underreporting of Hours, Underreporting of Workers "," Laborers, Operators",Complaint,Awarding Agency,
566SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Powerland Equipment, Inc.",Clearing and Grubbing , Santa Clara Valley Water District ," IWC 16, Misclassification, Overtime, Travel Pay ", Operators,Assessment,Stop Notice ,"30,862.45"
566SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Powerland Equipment, Inc.",Clearing and Grubbing , Santa Clara Valley Water District ," IWC 16, Misclassification, Overtime, Travel Pay ", Operators,Complaint,Awarding Agency,
452SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Prism Engineering, Inc.",Street & Road , County of Marin ," Misclassification, Travel Pay, Underreporting of Hours "," Laborers, Operators",Collection,DLSE ,"4,465.75"
564SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","RK & Associates, Inc. dba RK & Associates",Concrete Construction , Palo Alto Unified School District ," License Issues, Workers Compensation "," Cement Masons, Laborers",Complaint,CSLB,
523SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",S & H Construction Inc.,Demolition , City of Milpitas ," Misclassification, Overtime ", Laborers,Assessment,Stop Notice ,"51,290.36"
523SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",S & H Construction Inc.,Demolition , City of Milpitas ," Misclassification, Overtime ", Laborers,Collection,Lawsuit ,"22,500.00"
523SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",S & H Construction Inc.,Demolition , City of Milpitas ," Misclassification, Overtime ", Laborers,Lawsuit,US District Court,
546SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Salt River Construction Corporation,Dredging , County of Marin ," Failure to Pay Prevailing Wages, Subsistence, Travel Pay ", Operators,Complaint,DLSE,
547SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Salt River Construction Corporation,Dredging , Strawberry Recreation District ," Failure to Pay Prevailing Wages, Subsistence, Travel Pay ", Operators,Complaint,DLSE,
541SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Silicon Valley Paving, Inc.",Concrete Construction , Santa Clara Unified School District ," Misclassification, Underreporting of Hours, Underreporting of Workers "," Laborers, Operators",Complaint,DLSE,
562SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Southwest Fence and Supply,Fencing , Midpeninsula Regional Open Space District ," Failure to Pay Prevailing Wages, Travel Pay ", Laborers,Complaint,Awarding Agency,
389SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Souto Bros Landscape and Maintenance,Grading and Paving/Concrete Construction , San Mateo Union High School District ," Failure to Pay Prevailing Wages, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"21,000.00"
564SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Souto Bros Landscape and Maintenance,Concrete Construction , Palo Alto Unified School District ," Fringe Benefits, Misclassification, Travel Pay "," Cement Masons, Laborers, Operators",Assessment,Stop Notice ,"2,031.72"
564SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Souto Bros Landscape and Maintenance,Concrete Construction , Palo Alto Unified School District ," Fringe Benefits, Misclassification, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,Awarding Agency,
572SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Souto Bros Landscape and Maintenance,Grading and Paving , San Mateo Union High School District ," Fringe Benefits, Misclassification, Travel Pay "," Laborers, Operators",Assessment,Awarding Agency ,631.84
572SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Souto Bros Landscape and Maintenance,Grading and Paving , San Mateo Union High School District ," Fringe Benefits, Misclassification, Travel Pay "," Laborers, Operators",Complaint,Awarding Agency,
1543RP,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Stony Creek General Engineering,Slope Repair , County of Mendocino , License Issues ," Laborers, Operators",Complaint,CSLB,
545SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Telfer Highway Technologies,Grading and Paving , City of South San Francisco ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,Stop Notice ,"12,538.70"
545SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Telfer Highway Technologies,Grading and Paving , City of South San Francisco ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,Stop Notice ,"1,379.79"
545SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Telfer Highway Technologies,Grading and Paving , City of South San Francisco ," IWC 16, Misclassification, Overtime ", Laborers,Complaint,Awarding Agency,
475SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN","Titan Surveying & Mapping, Inc.",Surveying , City of Saratoga ," Apprenticeship, Misclassification, Travel Pay, Underreporting of Hours ", Operators,Assessment,DLSE ,"3,811.06"
537SJ,4/28/2015,"DEL NORTE, HUMBOLDT, LAKE, MARIN, MENDOCINO, MONTEREY, SAN BENITO, SAN",Vasquez Brothers Tree Service,Tree Removal , East Side Union High School District ," Apprenticeship, Failure to Pay Prevailing Wages, IWC 16, Misclassification, Paid Private Rates, Travel Pay "," Laborers, Operators",Complaint,DLSE,
